	eta_DMN	group	n_subj	prepost
0	-3.902511392320905	ACA	1	pre
1	-3.7667630156692193	ACA	1	post
2	-3.8239526359402403	ACA	1	pre
3	-3.923715961222746	ACA	1	post
4	-4.41285413625289	ACA	1	pre
5	-3.9728290353502542	ACA	1	post
6	-4.542493776399262	ACA	1	pre
7	-4.086657494914775	ACA	1	post
8	-4.545027859356939	ACA	1	pre
9	-4.5161859745882	ACA	1	post
10	-4.0144254042177785	ACA	1	pre
11	-4.17568622316633	ACA	1	post
12	-4.525648574439847	ACA	1	pre
13	-3.8164736689353473	ACA	1	post
14	-4.523070792762601	ACA	2	pre
15	-4.361026282213173	ACA	2	post
16	-4.48161413718243	ACA	2	pre
17	-3.84800233646315	ACA	2	post
18	-4.187085380359572	ACA	2	pre
19	-4.157995759224405	ACA	2	post
20	-4.102217722912224	ACA	2	pre
21	-3.894676451780358	ACA	2	post
22	-4.143603032949019	ACA	2	pre
23	-3.804210497408497	ACA	2	post
24	-4.453912764179464	ACA	2	pre
25	-4.28790774637339	ACA	2	post
26	-4.208560359721281	ACA	2	pre
27	-4.147440871413873	ACA	2	post
28	-3.9365716759039433	ACA	2	pre
29	-3.984194006238665	ACA	2	post
30	-4.3789374487740655	ACA	2	pre
31	-3.9842688015529086	ACA	2	post
32	-4.323538502868341	ACA	2	pre
33	-4.3620434293941575	ACA	2	post
34	-4.610101787411437	ACA	2	pre
35	-4.127172645257444	ACA	2	post
36	-4.253536195171122	ACA	2	pre
37	-4.081079507360653	ACA	2	post
38	-4.506050041743688	ACA	2	pre
39	-3.9312286182325713	ACA	2	post
40	-4.24090542112078	ACA	2	pre
41	-3.924438408442906	ACA	2	post
42	-4.492362645207619	ACA	2	pre
43	-3.960878235953195	ACA	2	post
44	-4.281993574025679	ACA	2	pre
45	-3.7712680758262165	ACA	2	post
46	-3.856053352355957	ACA	2	pre
47	-3.9616268313660914	ACA	2	post
48	-3.8604332670873527	ACA	2	pre
49	-3.8173712419003856	ACA	2	post
50	-4.334132739475796	ACA	2	pre
51	-4.075758218765259	ACA	2	post
52	-4.2456265760927785	ACA	2	pre
53	-3.8443628476590526	ACA	2	post
54	-4.515881869257713	ACA	3	pre
55	-3.9209392751966208	ACA	3	post
56	-4.445389981172523	ACA	3	pre
57	-4.000761406762259	ACA	3	post
58	-4.323667088333441	ACA	3	pre
59	-3.955861724152857	ACA	3	post
60	-4.543588385290029	ACA	3	pre
61	-4.1316912904077645	ACA	3	post
62	-4.39702582359314	ACA	3	pre
63	-4.15399144133743	ACA	3	post
64	-4.1050608109454725	ACA	3	pre
65	-3.8680616252276363	ACA	3	post
66	-4.198417974978077	ACA	3	pre
67	-3.8848265531111736	ACA	3	post
68	-4.136273150541344	ACA	3	pre
69	-3.88520318634656	ACA	3	post
70	-4.158932092238445	ACA	3	pre
71	-4.043395485196795	ACA	3	post
72	-4.068809820681202	ACA	3	pre
73	-3.9346184438588665	ACA	3	post
74	-4.275647844587054	ACA	3	pre
75	-4.134767542080003	ACA	3	post
76	-4.318612998845626	ACA	3	pre
77	-4.056853532791138	ACA	3	post
78	-4.405767148854781	ACA	3	pre
79	-3.936901160648891	ACA	3	post
80	-4.361287744677797	ACA	3	pre
81	-3.9836470107642974	ACA	3	post
82	-4.016061378985035	ACA	3	pre
83	-3.863211373893582	ACA	3	post
84	-4.373535769326346	ACA	3	pre
85	-4.019334588732038	ACA	3	post
86	-4.08993032027264	ACA	3	pre
87	-3.9252244842295743	ACA	3	post
88	-4.35722998210362	ACA	3	pre
89	-3.868481344106246	ACA	3	post
90	-3.8671708447592597	ACA	3	pre
91	-3.8495043053918954	ACA	3	post
92	-4.467060546485746	ACA	3	pre
93	-4.125294675632399	ACA	3	post
94	-4.035784195880501	ACA	4	pre
95	-3.941206557410104	ACA	4	post
96	-4.284729091488585	ACA	4	pre
97	-4.044662650750608	ACA	4	post
98	-4.08442226721316	ACA	4	pre
99	-3.997350147792271	ACA	4	post
100	-4.406670419537291	ACA	4	pre
101	-4.082063820897316	ACA	4	post
102	-4.45242824359816	ACA	4	pre
103	-4.144964349513151	ACA	4	post
104	-4.3650926813787345	ACA	4	pre
105	-4.067043372562954	ACA	4	post
106	-4.287542440453354	ACA	4	pre
107	-4.114934288725561	ACA	4	post
108	-4.417625748381322	ACA	4	pre
109	-3.9828663748137805	ACA	4	post
110	-4.2273388979386315	ACA	4	pre
111	-4.118074640935781	ACA	4	post
112	-4.154177870069232	ACA	4	pre
113	-3.892926109080412	ACA	4	post
114	-4.453915430575001	ACA	4	pre
115	-3.9715567997523715	ACA	4	post
116	-4.285896564016537	ACA	4	pre
117	-4.144859226382509	ACA	4	post
118	-4.3200048719133655	ACA	4	pre
119	-3.8748387463238774	ACA	4	post
120	-4.066218103681292	ACA	4	pre
121	-3.9051456646043428	ACA	4	post
122	-4.356671742030553	ACA	4	pre
123	-3.923120167790627	ACA	4	post
124	-4.2191837612463505	ACA	4	pre
125	-3.9797138827187677	ACA	4	post
126	-4.223225476790447	ACA	4	pre
127	-3.7478168935191873	ACA	4	post
128	-4.469576076585419	ACA	4	pre
129	-4.040289363082574	ACA	4	post
130	-4.381715370684254	ACA	4	pre
131	-4.082382917404175	ACA	4	post
132	-4.425843939489248	ACA	4	pre
133	-3.9556199482509067	ACA	4	post
134	-4.272522191612088	ACA	5	pre
135	-3.9058249921214823	ACA	5	post
136	-4.29171939285434	ACA	5	pre
137	-3.9191526198873716	ACA	5	post
138	-4.299976144518171	ACA	5	pre
139	-4.00285310161357	ACA	5	post
140	-4.363263256695806	ACA	5	pre
141	-4.079056613299311	ACA	5	post
142	-4.326204061508179	ACA	5	pre
143	-4.022038226224939	ACA	5	post
144	-4.45411483122378	ACA	5	pre
145	-4.103679997580392	ACA	5	post
146	-4.309179850987025	ACA	5	pre
147	-4.143345662525722	ACA	5	post
148	-4.493595687710509	ACA	5	pre
149	-4.00334832133079	ACA	5	post
150	-4.246528216770717	ACA	5	pre
151	-3.9645812852042064	ACA	5	post
152	-4.133292767466331	ACA	5	pre
153	-4.069346680933116	ACA	5	post
154	-4.354831554451767	ACA	5	pre
155	-4.0306993114704985	ACA	5	post
156	-4.12582372159374	ACA	5	pre
157	-4.042358043242475	ACA	5	post
158	-4.180555032224071	ACA	5	pre
159	-3.8240789150705146	ACA	5	post
160	-4.338804079561817	ACA	5	pre
161	-3.952628125949782	ACA	5	post
162	-4.347215871421659	ACA	5	pre
163	-3.92953245980399	ACA	5	post
164	-4.340404924081296	ACA	5	pre
165	-3.979983183802391	ACA	5	post
166	-4.250284589066798	ACA	5	pre
167	-3.896858006107564	ACA	5	post
168	-4.411589476527	ACA	5	pre
169	-4.0433871405465265	ACA	5	post
170	-4.450450741514867	ACA	5	pre
171	-4.005016429083688	ACA	5	post
172	-4.292159654656235	ACA	5	pre
173	-4.113334256775525	ACA	5	post
174	-4.219372243297343	ACA	6	pre
175	-4.055452950146734	ACA	6	post
176	-4.394918324996014	ACA	6	pre
177	-4.03870271176708	ACA	6	post
178	-4.298417879610645	ACA	6	pre
179	-3.88456967412209	ACA	6	post
180	-4.2426987764786706	ACA	6	pre
181	-3.9536595831111985	ACA	6	post
182	-4.268399374825614	ACA	6	pre
183	-4.018560239246914	ACA	6	post
184	-4.372613225664411	ACA	6	pre
185	-4.0725661881115975	ACA	6	post
186	-4.373694896697998	ACA	6	pre
187	-4.0521910044611715	ACA	6	post
188	-4.344026838030134	ACA	7	pre
189	-4.045776829427602	ACA	7	post
