	eta_DMN	group	n_subj	prepost
0	-4.227642628611351	RSC	1	pre
1	-3.9559788606604753	RSC	1	post
2	-4.31996810679533	RSC	1	pre
3	-4.099173686942276	RSC	1	post
4	-4.621600112136529	RSC	1	pre
5	-3.9930155617850165	RSC	1	post
6	-4.140786394780996	RSC	1	pre
7	-3.8049551808104223	RSC	1	post
8	-4.511898108891078	RSC	1	pre
9	-4.422599403225646	RSC	1	post
10	-4.361465137832019	RSC	1	pre
11	-4.050041437149048	RSC	1	post
12	-3.9843201539954363	RSC	1	pre
13	-3.854978575998423	RSC	1	post
14	-4.671337662910928	RSC	1	pre
15	-4.4201842716762	RSC	1	post
16	-3.8903538840157648	RSC	1	pre
17	-3.8254092810105305	RSC	1	post
18	-4.378355162484305	RSC	1	pre
19	-3.781932616720394	RSC	1	post
20	-3.7973705505838202	RSC	1	pre
21	-3.81308397954824	RSC	1	post
22	-4.0510180045147335	RSC	1	pre
23	-3.908843079391791	RSC	1	post
24	-3.8161626981229197	RSC	1	pre
25	-3.8351736944548938	RSC	1	post
26	-3.915348018918719	RSC	1	pre
27	-3.8370066370282854	RSC	1	post
28	-4.485372990978007	RSC	2	pre
29	-4.338639327457972	RSC	2	post
30	-4.38670674148871	RSC	2	pre
31	-4.176465958965068	RSC	2	post
32	-4.010254120340153	RSC	2	pre
33	-3.8107713485250665	RSC	2	post
34	-3.9393621756106008	RSC	2	pre
35	-3.891163879511308	RSC	2	post
36	-4.48544642390037	RSC	2	pre
37	-3.9183424589585285	RSC	2	post
38	-4.5247184500402335	RSC	2	pre
39	-4.1347655130892385	RSC	2	post
40	-4.2876498504560825	RSC	2	pre
41	-4.062952586582728	RSC	2	post
42	-4.150152352391457	RSC	2	pre
43	-3.983237451436568	RSC	2	post
44	-4.587543292921417	RSC	2	pre
45	-4.24900888910099	RSC	2	post
46	-4.157482351575579	RSC	2	pre
47	-3.7636581343047473	RSC	2	post
48	-4.117263049495463	RSC	2	pre
49	-3.859143607470454	RSC	2	post
50	-4.467796145653238	RSC	2	pre
51	-4.039510717197341	RSC	2	post
52	-3.836383118921397	RSC	2	pre
53	-3.849921786055273	RSC	2	post
