group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
ACA	2	pre	-3.8423137178226394	-4.98370783669608	-3.5668886535021724	-3.703855242047991	-3.857123443058559	-3.6451468175771287	0.48426615462011224	1
ACA	2	post	-3.8372153457330196	-5.000375304903303	-3.5623899917213286	-3.7038415597409617	-3.755104230374706	-3.6496193262995504	0.47663702161944643	1
ACA	2	pre	-4.149567487288494	-5.0360212034108685	-3.584418924487367	-3.703998580270884	-3.9564111767982952	-3.640053554457061	0.4795977090086256	2
ACA	2	post	-3.798925613870426	-5.003937380654471	-3.572126699953663	-3.704284215460018	-3.8060086746605077	-3.651052747453962	0.46434480377605986	2
ACA	2	pre	-4.234096264352604	-4.987905531513448	-3.6019920718913174	-3.704142765123017	-4.0569837336637535	-3.7523767315611547	0.5160346414361681	3
ACA	2	post	-3.910602511191855	-5.013431646385971	-3.575060362718543	-3.704105109584575	-3.703961586465641	-3.6472234531324736	0.44130175332633814	3
ACA	2	pre	-4.247237546103341	-5.006373132978167	-3.5941540659690387	-3.8061646101426105	-3.907973031608426	-3.6830866044881394	0.5179255264145988	4
ACA	2	post	-4.184520580330673	-5.058716394463364	-3.578290029447906	-3.704089588048507	-3.8572098187037875	-3.7500266542240066	0.4925062680731014	4
ACA	2	pre	-3.920804821715063	-4.8781653326384875	-3.5664486836413944	-3.704352865413744	-3.7552332780799085	-3.649958941401268	0.47663695897374836	5
ACA	2	post	-3.957026987659688	-5.020338535308838	-3.6038361666153884	-3.7040712736090833	-3.855618340628488	-3.6490406600796446	0.47670938895673165	5
ACA	2	pre	-4.278574855960145	-4.982388301771515	-3.58996894894814	-3.755097992566167	-3.9523959159851074	-3.7539489804481976	0.5055838616526857	6
ACA	2	post	-3.7923417869879277	-5.080241071934603	-3.558437527442465	-3.7041132158162644	-3.8057208791071053	-3.6405325033226794	0.4583074645120271	6
ACA	2	pre	-4.079414095197405	-4.936722823551722	-3.575089425456767	-3.704203347770535	-3.804963627640082	-3.7036185264587402	0.4826122704817324	7
ACA	2	post	-3.919822712333835	-4.910991512999242	-3.5810369082859586	-3.704297094928975	-3.7551728462686347	-3.651851391305729	0.4723394659100747	7
ACA	2	pre	-4.23271310086153	-4.983579363141741	-3.571353489038896	-3.7550512333305517	-4.158805642809186	-3.8028313627048416	0.5132337826855329	8
ACA	2	post	-3.960019111633301	-4.883688693143884	-3.5790646368143513	-3.7040115765162875	-3.806023797210382	-3.6412748901211485	0.44919994169352007	8
ACA	2	pre	-4.174711110640545	-5.084028409451855	-3.5684805792205188	-3.755164224274304	-4.111852874561232	-3.8280583790370395	0.5272836003984724	9
ACA	2	post	-4.2117710356809654	-4.878691274292615	-3.6180218969072615	-3.755058230185995	-3.907209756423016	-3.847626345498221	0.49821673242413267	9
ACA	2	pre	-3.936031633493852	-4.998821754844821	-3.5828598956672515	-3.7039008821759904	-3.755097651968197	-3.648671033431073	0.4734593787971808	10
ACA	2	post	-3.972542490277972	-4.879209995269775	-3.5761718555372592	-3.7037433215550015	-3.857023443494524	-3.6513306948603415	0.4888155241401828	10
