group,subject_id,ks_fc_fcd,ks_fc,ks_fcd,g,eta1,eta2,eta3,eta4,eta5,eta6
RSC,0,0.319738563024376,0.22033607681755835,0.0994024862068176,0.7123202,-3.6823504,-5.9363937,-4.498639,-5.577043,-4.1462493,-3.757148
RSC,1,0.24813117762463488,0.09122085048010975,0.15691032714452513,0.7985982,-5.39138,-5.7296805,-5.8489404,-4.4165616,-4.6920233,-5.6837597
RSC,2,0.14339410124826618,0.09156378600823045,0.05183031524003573,0.6336831,-4.4273043,-5.141872,-4.1494393,-4.3370037,-5.7511907,-4.666217
RSC,3,0.30586371155963676,0.12825788751714684,0.17760582404248992,0.7351881,-3.9768422,-4.9621267,-4.2330794,-5.4835005,-5.490506,-5.124962
RSC,4,0.3097277166804387,0.06412894375857336,0.24559877292186533,0.6734521,-4.0304313,-4.954294,-5.5157,-3.9932535,-4.809292,-5.452483
RSC,5,0.228775897516629,0.07355967078189307,0.15521622673473592,0.53693813,-5.826704,-4.689918,-4.080899,-4.528909,-5.6235523,-4.919341
RSC,6,0.17362152730377925,0.08539094650205761,0.08823058080172164,0.5552936,-5.9115415,-5.1738653,-4.4815574,-4.309569,-4.7683644,-4.6908655
RSC,7,0.27702784723476415,0.11265432098765438,0.16437352624710974,0.91413254,-3.9890492,-5.9184823,-5.685654,-4.1785913,-4.880073,-5.015043
RSC,8,0.3281699047424167,0.14763374485596714,0.18053615988644955,0.6416223,-3.5212576,-4.9360857,-5.474209,-3.587595,-5.111922,-4.355451
RSC,9,0.20347005674542362,0.08007544581618664,0.12339461092923698,0.52841866,-4.2447844,-4.95305,-3.60157,-5.3484187,-4.0157075,-5.356296
RSC,10,0.2814604072881678,0.08521947873799726,0.19624092855017056,0.72843254,-4.005699,-5.4880595,-4.279036,-5.005809,-4.3213744,-4.71879
RSC,11,0.20770728619880344,0.12945816186556927,0.07824912433323417,0.68480957,-3.9363458,-5.1939626,-4.6107388,-3.7363322,-5.4685163,-4.9261775
RSC,12,0.41469077752852723,0.09139231824417016,0.3232984592843571,0.5027591,-5.3615346,-5.3894625,-5.3774266,-4.1729665,-4.3116765,-4.837111
RSC,13,0.17510449323501356,0.08916323731138545,0.08594125592362811,0.692341,-3.8109155,-5.9500012,-3.716816,-5.422008,-5.1533604,-4.7358575
ACA,0,0.39949316969402404,0.07184499314128945,0.3276481765527346,0.7625392,-3.8676293,-5.383492,-5.917745,-3.8912218,-5.294689,-4.21767
ACA,1,0.3316654000011118,0.09362139917695478,0.238044000824157,0.55123013,-5.7518826,-4.3807774,-5.406948,-4.7741556,-4.866152,-4.07207
ACA,2,0.17627714416236762,0.08539094650205759,0.09088619766031003,0.6806627,-3.7895718,-4.7881827,-5.772196,-4.6943517,-4.9107494,-4.340162
ACA,3,0.19968055674496832,0.12294238683127579,0.07673816991369253,0.5555482,-4.4514456,-4.9691772,-3.8065147,-4.3022776,-4.2733274,-5.4899216
ACA,4,0.48829477453902687,0.19993141289437588,0.288363361644651,0.8420332,-4.2061405,-5.2643285,-5.340181,-5.8680854,-5.3009768,-4.8630004
ACA,5,0.2001747478735736,0.11299725651577497,0.08717749135779862,0.42958206,-5.257556,-3.959899,-4.3338833,-4.412048,-4.2690763,-5.4042063
ACA,6,0.32923200702913813,0.039266117969821684,0.2899658890593165,0.83450735,-4.0028124,-5.9340944,-3.896187,-5.7689686,-4.7103143,-4.9393992
CTRL,0,0.1309260540527504,0.04269547325102885,0.08823058080172155,0.6752099,-3.8358698,-4.505266,-5.588822,-5.074895,-3.672358,-5.168961
CTRL,1,0.15046226226939174,0.07047325102880658,0.07998901124058516,0.78012186,-3.8947268,-4.792831,-4.501339,-5.365055,-5.0522056,-5.1285396
CTRL,2,0.25533170103527414,0.08230452674897115,0.173027174286303,0.49306002,-4.3747363,-4.3261766,-5.799348,-4.5287147,-5.2306666,-4.9566627
CTRL,3,0.2330868744776987,0.0768175582990398,0.1562693161786589,0.6339747,-4.3523235,-5.3918996,-4.175419,-4.8087873,-3.9491208,-3.9140406
CTRL,4,0.13421510182518237,0.07373113854595337,0.060483963279229,0.5572753,-4.9769573,-4.434742,-5.0521297,-4.110723,-3.8917253,-5.8338914
CTRL,5,0.18025203551286162,0.07475994513031547,0.10549209038254614,0.6517493,-4.3432794,-5.3902907,-5.472211,-4.7414765,-3.821264,-5.6228676
CTRL,6,0.22283738014685534,0.08882030178326472,0.1340170783635906,0.80939764,-5.4911723,-4.92349,-5.2063184,-4.501492,-5.826998,-4.5961404
CTRL,7,0.4106461544099699,0.051954732510288065,0.35869142189968184,0.6296452,-3.740905,-5.2190204,-3.8671503,-5.19237,-4.730018,-4.056745
