group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6
RSC,0,0,0.38232762,-4.5440044,-5.9717155,-4.2064443,-4.049391,-4.943881,-4.069718
RSC,0,1,0.571165,-3.6926405,-4.8885045,-4.900546,-4.597633,-4.4139547,-4.107019
RSC,0,2,0.6439835,-3.6277845,-5.2712955,-4.5672674,-4.341366,-4.802573,-4.135063
RSC,0,3,0.5703033,-3.7354436,-4.474549,-4.982661,-4.1848903,-5.8870115,-4.087141
RSC,0,4,0.53201663,-3.7010183,-5.5122766,-4.41649,-4.0649514,-4.3593216,-3.6958637
RSC,0,5,0.56475675,-4.341011,-4.8823013,-4.430361,-4.1624646,-5.517974,-4.1757226
RSC,0,6,0.72562605,-3.89024,-3.9638033,-4.836801,-4.4218225,-5.595452,-5.430631
RSC,0,7,0.63584673,-4.059847,-4.786588,-4.7989182,-3.5562522,-5.7549853,-4.140558
RSC,0,8,0.6467106,-3.726028,-5.7856164,-4.4749107,-3.9228337,-5.9295917,-4.7255282
RSC,0,9,0.49508154,-4.374079,-4.755055,-5.0951986,-4.187619,-4.2419224,-4.8083053
RSC,0,10,0.30052617,-3.7352757,-4.620318,-4.3283787,-4.139811,-5.886272,-3.6077929
RSC,0,11,0.6708024,-3.6221905,-4.50301,-5.509584,-4.1475496,-5.4847016,-3.552626
RSC,0,12,0.6670969,-3.580908,-4.8842907,-4.535115,-4.425046,-5.765804,-4.462377
RSC,0,13,0.79847604,-3.7972667,-5.944133,-4.565562,-5.836334,-5.753281,-4.0036454
RSC,0,14,0.5724422,-3.7846441,-4.3888946,-4.6558084,-4.1364684,-5.854705,-4.2030187
RSC,0,15,0.7618833,-3.6175127,-3.8617437,-4.925233,-3.6012764,-3.6077428,-4.5190115
RSC,0,16,0.5178554,-3.835929,-4.8432546,-5.4464664,-3.5370626,-5.42327,-3.9970088
RSC,0,17,0.4841375,-3.756309,-5.109061,-3.9656155,-4.2705903,-5.577887,-4.3764124
RSC,0,18,0.6955709,-3.6798003,-3.753607,-5.1449766,-3.5242481,-5.0131264,-5.145492
RSC,0,19,0.52519494,-3.8079114,-4.553468,-4.912561,-3.990385,-5.982118,-4.214012
RSC,0,20,0.46370393,-3.9813757,-4.8175883,-5.7444024,-3.5340443,-3.8962622,-3.5815897
RSC,0,21,0.46848172,-3.6756334,-5.5390935,-4.683164,-3.9872499,-5.148443,-4.19095
RSC,0,22,0.3577512,-3.7623403,-5.726192,-4.4821696,-3.9127855,-3.9780748,-4.43451
RSC,0,23,0.59369147,-3.5973392,-5.044164,-4.2258053,-4.138859,-5.8683677,-4.6196966
RSC,0,24,0.5103038,-3.9114602,-5.3843493,-3.9493277,-4.1796436,-5.2192755,-3.929914
RSC,0,25,0.71998817,-3.5744112,-4.574217,-5.2108097,-4.473323,-5.192295,-4.4034476
RSC,0,26,0.51853704,-4.4447856,-4.546758,-4.826636,-3.9924426,-4.347747,-5.048216
RSC,0,27,0.33478245,-3.9357271,-5.168739,-3.8889923,-4.4953,-5.5546627,-3.712518
RSC,0,28,0.7421316,-3.6042392,-4.3762946,-4.3813605,-4.6981673,-5.519592,-4.504526
RSC,0,29,0.5157485,-3.7195885,-4.801419,-4.930764,-3.6193352,-5.6256037,-4.892213
RSC,0,30,0.6423908,-5.0710344,-4.5367613,-4.3362856,-3.5271204,-3.8830512,-4.187674
RSC,0,31,0.6568561,-3.5763032,-4.1868396,-5.1865873,-3.7042937,-3.5546525,-3.9899306
RSC,0,32,0.78951705,-4.2199864,-5.2893143,-3.9933164,-4.575843,-5.3327127,-4.6531196
RSC,0,33,0.5550784,-4.1365056,-5.502131,-4.423385,-4.0527062,-5.944207,-3.7783477
RSC,0,34,0.49156696,-3.7791352,-5.3147984,-4.415118,-3.7759686,-5.7546062,-4.069188
RSC,0,35,0.4430671,-3.5246975,-5.359048,-4.324467,-4.5221863,-5.931971,-3.6598465
RSC,0,36,0.6322014,-4.1889057,-5.3112035,-3.6849797,-3.522057,-5.652054,-4.4195023
RSC,0,37,0.5241976,-3.5950022,-5.6684203,-4.5657153,-4.551981,-5.9048896,-3.8662355
RSC,0,38,0.70717204,-3.8034832,-4.0236783,-4.731466,-4.3275576,-4.355629,-4.099709
RSC,0,39,0.49341208,-3.634632,-5.4174676,-4.8966527,-3.8827803,-5.95922,-4.069102
RSC,0,40,0.3314326,-3.7851224,-4.8862243,-4.187624,-4.1512394,-5.957481,-3.9488943
RSC,0,41,0.68220985,-3.512441,-3.9153395,-5.2381587,-3.6460507,-3.9956615,-4.4134254
RSC,0,42,0.84212697,-4.372032,-4.804329,-4.4137297,-3.8580647,-4.789836,-3.9162588
RSC,0,43,0.6828069,-3.762736,-4.9148164,-5.4552608,-4.134287,-4.4905887,-5.27093
RSC,0,44,0.4348695,-3.821817,-5.246036,-4.531895,-4.3212867,-5.7310343,-3.8079271
RSC,0,45,0.773233,-4.871828,-4.5536776,-3.9724603,-4.3638268,-5.264057,-4.328091
RSC,0,46,0.52386093,-4.009795,-5.1978555,-3.9830077,-3.8477535,-5.6166043,-4.10964
RSC,0,47,0.5377382,-4.084841,-4.653263,-4.7250056,-4.255645,-4.885654,-3.9491258
