group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6,ks_fc,ks_fcd,ks_fc_fcd,corr_fc
RSC,0,0,0.38232762,-4.5440044,-5.9717155,-4.2064443,-4.049391,-4.943881,-4.069718,1.0,1.0,2.0,0.0
RSC,0,1,0.571165,-3.6926405,-4.8885045,-4.900546,-4.597633,-4.4139547,-4.107019,0.10871056241426613,0.7632609143563563,0.8719714767706225,0.11044558264691569
RSC,0,2,0.6439835,-3.6277845,-5.2712955,-4.5672674,-4.341366,-4.802573,-4.135063,1.0,1.0,2.0,0.0
RSC,0,3,0.5703033,-3.7354436,-4.474549,-4.982661,-4.1848903,-5.8870115,-4.087141,0.08676268861454046,0.7927932052837618,0.8795558938983024,0.08461300498637188
RSC,0,4,0.53201663,-3.7010183,-5.5122766,-4.41649,-4.0649514,-4.3593216,-3.6958637,0.10545267489711935,0.7034179620429934,0.8088706369401129,0.13087694446978532
RSC,0,5,0.56475675,-4.341011,-4.8823013,-4.430361,-4.1624646,-5.517974,-4.1757226,1.0,1.0,2.0,0.0
RSC,0,6,0.72562605,-3.89024,-3.9638033,-4.836801,-4.4218225,-5.595452,-5.430631,1.0,1.0,2.0,0.0
RSC,0,7,0.63584673,-4.059847,-4.786588,-4.7989182,-3.5562522,-5.7549853,-4.140558,0.0896776406035665,0.7227856505116642,0.8124632911152307,0.07228242957316894
RSC,0,8,0.6467106,-3.726028,-5.7856164,-4.4749107,-3.9228337,-5.9295917,-4.7255282,0.14214677640603568,0.7926558457910763,0.934802622197112,0.09590226027860063
RSC,0,9,0.49508154,-4.374079,-4.755055,-5.0951986,-4.187619,-4.2419224,-4.8083053,1.0,1.0,2.0,0.0
RSC,0,10,0.30052617,-3.7352757,-4.620318,-4.3283787,-4.139811,-5.886272,-3.6077929,0.1310013717421125,0.7449463153316087,0.8759476870737212,0.07690124513423097
RSC,0,11,0.6708024,-3.6221905,-4.50301,-5.509584,-4.1475496,-5.4847016,-3.552626,1.0,1.0,2.0,0.0
RSC,0,12,0.6670969,-3.580908,-4.8842907,-4.535115,-4.425046,-5.765804,-4.462377,1.0,1.0,2.0,0.0
RSC,0,13,0.79847604,-3.7972667,-5.944133,-4.565562,-5.836334,-5.753281,-4.0036454,1.0,1.0,2.0,0.0
RSC,0,14,0.5724422,-3.7846441,-4.3888946,-4.6558084,-4.1364684,-5.854705,-4.2030187,0.08316186556927299,0.705340994940592,0.788502860509865,0.12217762104735924
RSC,0,15,0.7618833,-3.6175127,-3.8617437,-4.925233,-3.6012764,-3.6077428,-4.5190115,1.0,1.0,2.0,0.0
RSC,0,16,0.5178554,-3.835929,-4.8432546,-5.4464664,-3.5370626,-5.42327,-3.9970088,1.0,1.0,2.0,0.0
RSC,0,17,0.4841375,-3.756309,-5.109061,-3.9656155,-4.2705903,-5.577887,-4.3764124,0.08847736625514403,0.6893157207939379,0.7777930870490819,0.10437540769042979
RSC,0,18,0.6955709,-3.6798003,-3.753607,-5.1449766,-3.5242481,-5.0131264,-5.145492,0.06310013717421115,0.5763146448112452,0.6394147819854563,0.09167215843260738
RSC,0,19,0.52519494,-3.8079114,-4.553468,-4.912561,-3.990385,-5.982118,-4.214012,0.10476680384087789,0.5857008768114284,0.6904676806523062,0.056211669894251734
RSC,0,20,0.46370393,-3.9813757,-4.8175883,-5.7444024,-3.5340443,-3.8962622,-3.5815897,0.16769547325102885,0.7886724205031936,0.9563678937542225,0.06259557913404158
RSC,0,21,0.46848172,-3.6756334,-5.5390935,-4.683164,-3.9872499,-5.148443,-4.19095,0.1728395061728395,0.7918316888349626,0.9646711950078021,0.04273674593501253
RSC,0,22,0.3577512,-3.7623403,-5.726192,-4.4821696,-3.9127855,-3.9780748,-4.43451,0.09945130315500687,0.7404134520729837,0.8398647552279905,0.040025017019061755
RSC,0,23,0.59369147,-3.5973392,-5.044164,-4.2258053,-4.138859,-5.8683677,-4.6196966,0.0574417009602195,0.5630365605183032,0.6204782614785227,0.02107593588676105
RSC,0,24,0.5103038,-3.9114602,-5.3843493,-3.9493277,-4.1796436,-5.2192755,-3.929914,0.12088477366255146,0.6946727410086766,0.8155575146712281,0.0758938766439168
RSC,0,25,0.71998817,-3.5744112,-4.574217,-5.2108097,-4.473323,-5.192295,-4.4034476,0.11659807956104251,0.5603351571621529,0.6769332367231954,0.08782760148254219
RSC,0,26,0.51853704,-4.4447856,-4.546758,-4.826636,-3.9924426,-4.347747,-5.048216,0.12482853223593965,0.7538288958586112,0.8786574280945509,0.1231367162046364
RSC,0,27,0.33478245,-3.9357271,-5.168739,-3.8889923,-4.4953,-5.5546627,-3.712518,0.1632373113854596,0.48117030287768137,0.644407614263141,0.04217993928058274
RSC,0,28,0.7421316,-3.6042392,-4.3762946,-4.3813605,-4.6981673,-5.519592,-4.504526,0.0565843621399177,0.5923399189578994,0.6489242810978171,0.11374246933650127
RSC,0,29,0.5157485,-3.7195885,-4.801419,-4.930764,-3.6193352,-5.6256037,-4.892213,0.1157407407407407,0.5468281403814015,0.6625688811221422,0.15930586602167546
RSC,0,30,0.6423908,-5.0710344,-4.5367613,-4.3362856,-3.5271204,-3.8830512,-4.187674,0.10768175582990402,0.21872209885304822,0.32640385468295224,0.09473964721813885
RSC,0,31,0.6568561,-3.5763032,-4.1868396,-5.1865873,-3.7042937,-3.5546525,-3.9899306,0.13168724279835392,0.7826286028250269,0.9143158456233809,0.057087969541623935
RSC,0,32,0.78951705,-4.2199864,-5.2893143,-3.9933164,-4.575843,-5.3327127,-4.6531196,0.051783264746227714,0.6870263959158445,0.7388096606620722,0.06252863913167625
RSC,0,33,0.5550784,-4.1365056,-5.502131,-4.423385,-4.0527062,-5.944207,-3.7783477,0.12414266117969819,0.38579702845630826,0.5099396896360064,0.1514833086231524
RSC,0,34,0.49156696,-3.7791352,-5.3147984,-4.415118,-3.7759686,-5.7546062,-4.069188,0.07253086419753087,0.7474645726975115,0.8199954368950424,0.08261797160752542
RSC,0,35,0.4430671,-3.5246975,-5.359048,-4.324467,-4.5221863,-5.931971,-3.6598465,0.12448559670781895,0.7561182207367048,0.8806038174445237,0.10724821709672164
RSC,0,36,0.6322014,-4.1889057,-5.3112035,-3.6849797,-3.522057,-5.652054,-4.4195023,1.0,1.0,2.0,0.0
RSC,0,37,0.5241976,-3.5950022,-5.6684203,-4.5657153,-4.551981,-5.9048896,-3.8662355,1.0,1.0,2.0,0.0
RSC,0,38,0.70717204,-3.8034832,-4.0236783,-4.731466,-4.3275576,-4.355629,-4.099709,1.0,1.0,2.0,0.0
RSC,0,39,0.49341208,-3.634632,-5.4174676,-4.8966527,-3.8827803,-5.95922,-4.069102,0.1616941015089164,0.384835512007509,0.5465296135164254,0.0765831479880739
RSC,0,40,0.3314326,-3.7851224,-4.8862243,-4.187624,-4.1512394,-5.957481,-3.9488943,0.09979423868312759,0.6778233099059088,0.7776175485890364,0.08726544006779038
RSC,0,41,0.68220985,-3.512441,-3.9153395,-5.2381587,-3.6460507,-3.9956615,-4.4134254,1.0,1.0,2.0,0.0
RSC,0,42,0.84212697,-4.372032,-4.804329,-4.4137297,-3.8580647,-4.789836,-3.9162588,0.23971193415637865,0.12531764382683547,0.3650295779832141,0.08363355855664957
RSC,0,43,0.6828069,-3.762736,-4.9148164,-5.4552608,-4.134287,-4.4905887,-5.27093,1.0,1.0,2.0,0.0
RSC,0,44,0.4348695,-3.821817,-5.246036,-4.531895,-4.3212867,-5.7310343,-3.8079271,0.1253429355281207,0.751127492502461,0.8764704280305817,0.07154397984767984
RSC,0,45,0.773233,-4.871828,-4.5536776,-3.9724603,-4.3638268,-5.264057,-4.328091,0.10528120713305897,0.772097708385797,0.877378915518856,0.10296729241646886
RSC,0,46,0.52386093,-4.009795,-5.1978555,-3.9830077,-3.8477535,-5.6166043,-4.10964,1.0,1.0,2.0,0.0
RSC,0,47,0.5377382,-4.084841,-4.653263,-4.7250056,-4.255645,-4.885654,-3.9491258,0.1359739368998628,0.7747991117419474,0.9107730486418102,0.09219309348863243
RSC,0,48,0.37530044,-3.5067172,-5.944884,-4.327088,-4.1220007,-4.9122396,-4.2952604,0.0872770919067215,0.5588699892401732,0.6461470811468947,0.03723749557699731
RSC,0,49,0.68007773,-3.8287497,-5.8635674,-4.477191,-4.332281,-5.2844524,-3.9656248,0.3395061728395061,0.14674572468579017,0.4862518975252963,0.1431639015824798
RSC,0,50,0.77363116,-3.750753,-4.826168,-5.286666,-4.4909406,-4.8039765,-3.6925936,1.0,1.0,2.0,0.0
RSC,0,51,0.6816109,-3.8771427,-4.791539,-4.809324,-4.0546503,-4.943042,-4.5473766,1.0,1.0,2.0,0.0
RSC,0,52,0.7169843,-4.190946,-5.273271,-4.665356,-4.8907733,-4.8074718,-3.7767422,1.0,1.0,2.0,0.0
RSC,0,53,0.5604553,-3.9611156,-5.6777325,-4.8651323,-3.9149268,-5.7597346,-4.011171,0.04406721536351167,0.693802797555001,0.7378700129185126,0.09246521042491136
RSC,0,54,0.51320666,-3.7578685,-4.801174,-4.6625834,-3.6654792,-5.7934017,-4.62941,0.14111796982167354,0.7707698999565029,0.9118878697781765,0.08578979837857106
RSC,0,55,0.63492644,-4.1261716,-5.0179834,-4.46169,-5.032671,-3.9341192,-3.731292,0.07424554183813448,0.4737986767702204,0.548044218608355,0.06033304475403315
RSC,0,56,0.53503513,-4.6553173,-4.851273,-3.9105089,-3.9201238,-4.7010736,-4.268159,1.0,1.0,2.0,0.0
RSC,0,57,0.672014,-3.9351695,-4.824986,-4.967891,-4.315726,-4.1602826,-5.0227656,1.0,1.0,2.0,0.0
RSC,0,58,0.29598802,-3.7069652,-5.9940786,-3.9133482,-4.6617684,-5.5742,-3.709713,0.14506172839506176,0.7736086628053388,0.9186703912004006,0.1095206461677951
RSC,0,59,0.71809334,-3.7315683,-4.829443,-5.2036133,-4.420716,-5.781664,-3.6800942,1.0,1.0,2.0,0.0
RSC,0,60,0.67842734,-3.848184,-4.9400177,-4.887673,-3.8204563,-4.8922434,-4.0837474,0.07493141289437585,0.3266866601039354,0.4016180729983112,0.12567701400315595
RSC,0,61,0.68947953,-3.5308459,-4.0349236,-5.288916,-3.768636,-4.8978853,-5.028931,0.10699588477366254,0.7158261028822601,0.8228219876559226,0.05427052156153004
RSC,0,62,0.76830363,-3.9841523,-4.521284,-4.9883213,-4.0770574,-5.0334144,-4.0616107,0.144718792866941,0.16918110849110596,0.31389990135804696,0.2077091523009938
RSC,0,63,0.4986495,-4.0741143,-5.1887097,-4.24496,-3.8027046,-3.7314503,-4.1380653,1.0,1.0,2.0,0.0
RSC,0,64,0.5249655,-3.905157,-4.713107,-4.739575,-3.8146605,-5.9630265,-4.3162317,0.06550068587105626,0.7057988599162107,0.771299545787267,0.0931565054846082
RSC,0,65,0.5271011,-3.8605742,-5.095808,-4.3032765,-3.7570026,-5.8947554,-4.2793655,1.0,1.0,2.0,0.0
RSC,0,66,0.52650833,-3.8804853,-5.171349,-4.148937,-3.519692,-5.692419,-3.9236424,1.0,1.0,2.0,0.0
RSC,0,67,0.42571566,-3.58045,-4.5917683,-4.618366,-3.5605104,-5.599782,-4.017392,1.0,1.0,2.0,0.0
RSC,0,68,0.66049546,-3.5175514,-4.6588054,-5.389081,-3.8775988,-4.7787976,-4.841778,0.3907750342935528,0.19761452347702665,0.5883895577705794,0.07029014313119653
RSC,0,69,0.5516408,-3.8522701,-4.9977684,-4.2087317,-4.1946173,-5.7512407,-4.4556,0.10133744855967078,0.4379936356768389,0.5393310842365097,0.12412910513757812
RSC,0,70,0.5620468,-3.6543052,-4.9207673,-4.6141844,-4.515093,-5.634345,-3.562474,0.11539780521262,0.7561640072342667,0.8715618124468867,0.04573469358458817
RSC,0,71,0.5254695,-3.954184,-5.1756124,-3.7652545,-4.056235,-5.0055995,-4.9310765,1.0,1.0,2.0,0.0
RSC,0,72,0.6629125,-3.866528,-5.8409414,-4.5405784,-5.0334344,-5.673458,-3.9628074,0.14351851851851855,0.776676358141984,0.9201948766605026,0.10456188311193583
RSC,0,73,0.46186697,-5.6861286,-4.870546,-4.0653133,-4.0704226,-5.992611,-4.273393,1.0,1.0,2.0,0.0
RSC,0,74,0.57974625,-3.7860758,-4.8060937,-5.1245103,-3.7757432,-5.824794,-3.6483397,1.0,1.0,2.0,0.0
RSC,0,75,0.509414,-3.6337895,-5.468847,-4.5486426,-3.8829303,-5.8967867,-4.405292,1.0,1.0,2.0,0.0
RSC,0,76,0.5204741,-4.4494157,-4.7613297,-5.2736855,-3.7614841,-3.799187,-4.823016,0.06155692729766804,0.6351502941782469,0.6967072214759149,0.15188169422219286
RSC,0,77,0.34147528,-3.8849726,-5.380655,-3.9597735,-4.49056,-4.8286157,-4.012991,1.0,1.0,2.0,0.0
RSC,0,78,0.6100598,-3.722296,-5.90138,-4.915986,-4.04079,-5.578777,-3.8260276,0.28703703703703703,0.17618644261807204,0.46322347965510907,-0.011281275440093004
RSC,0,79,0.92068136,-4.5046854,-4.2550483,-4.7398167,-4.4428144,-5.824794,-4.076325,0.05932784636488342,0.6093724960509146,0.668700342415798,0.10974441321451862
RSC,0,80,0.7211003,-3.8026798,-4.71966,-4.415674,-5.032035,-5.48086,-4.2855964,0.09362139917695475,0.6099219340216571,0.7035433331986118,0.11131881823772778
RSC,0,81,0.4195494,-3.7794716,-5.088463,-4.4568563,-3.9886239,-5.9631424,-3.8612142,0.29149519890260633,0.21107575376021612,0.5025709526628225,0.2071387143010599
RSC,0,82,0.4149498,-4.196404,-5.4920154,-3.8409624,-4.7366095,-5.9307303,-3.9611967,1.0,1.0,2.0,0.0
RSC,0,83,0.5232131,-3.5325162,-4.877151,-4.395534,-4.3992963,-5.8382916,-4.596618,0.18432784636488342,0.7972344955472631,0.9815623419121465,0.05972492711050073
RSC,0,84,0.5998855,-3.9708078,-5.277255,-3.9641764,-3.5978007,-5.641725,-4.8278785,1.0,1.0,2.0,0.0
RSC,0,85,0.658028,-3.834312,-4.5997376,-5.3549256,-4.410062,-4.994532,-4.7150717,0.07938957475994515,0.6653693825690804,0.7447589573290255,0.09057242832568059
RSC,0,86,0.59302884,-3.5419745,-5.937658,-4.9426336,-3.5238824,-5.565865,-4.2925596,0.12345679012345681,0.7634440603466038,0.8869008504700606,0.07315113469126934
RSC,0,87,0.4122765,-3.974681,-4.7041636,-3.9487538,-3.5212793,-5.6381273,-4.135837,0.06824417009602195,0.7229687965019116,0.7912129665979335,0.0869707380752319
RSC,0,88,0.44857293,-3.565158,-4.991362,-4.1761518,-3.7447057,-5.909026,-3.9967,1.0,1.0,2.0,0.0
RSC,0,89,0.2657699,-4.338154,-4.294718,-4.1465898,-3.5452194,-5.816455,-3.9087205,0.08659122085048013,0.5506742061765986,0.6372654270270787,0.11246969597355203
RSC,0,90,0.7321762,-3.822797,-4.750832,-4.506524,-4.833568,-4.8408594,-4.6282077,0.139917695473251,0.7588654105904169,0.898783106063668,0.04516020034188225
RSC,0,91,0.78088707,-4.1032367,-4.3324986,-4.687298,-4.441116,-4.450836,-3.6185312,0.1448902606310014,0.7884892745129461,0.9333795351439476,0.03547576901022477
RSC,0,92,0.794467,-5.11297,-5.018516,-4.96526,-4.198411,-3.5573733,-5.5108843,0.08007544581618656,0.5951328953091733,0.6752083411253599,0.09755366265996666
RSC,0,93,0.4027388,-3.6192575,-5.6389146,-4.037915,-4.6441736,-4.8580203,-3.7325063,0.11008230452674897,0.6958631899452852,0.8059454944720341,0.07013877154016106
RSC,0,94,0.37449932,-3.8596516,-5.244119,-4.232615,-4.324323,-5.894776,-3.596836,0.09859396433470506,0.6398663034271194,0.7384602677618244,0.12896898453325206
RSC,0,95,0.6472357,-3.8506713,-4.965111,-4.6456017,-4.1070857,-5.1991854,-4.6562924,0.16135116598079569,0.08539181795288572,0.2467429839336814,-0.009114170093765911
RSC,0,96,0.60679877,-4.002542,-5.9798512,-4.7609725,-4.4394603,-5.4848533,-3.559536,0.15089163237311376,0.36958860831940654,0.5204802406925203,0.08466414933115399
RSC,0,97,0.60895896,-4.1364903,-5.4823084,-3.6922793,-3.5604954,-5.120295,-3.8582141,1.0,1.0,2.0,0.0
RSC,0,98,0.39995515,-3.6369555,-4.7735977,-4.5083365,-3.512659,-5.353535,-3.5369182,1.0,1.0,2.0,0.0
RSC,0,99,0.47591802,-3.7412083,-5.3795896,-4.844392,-3.6671188,-5.378689,-3.9074996,1.0,1.0,2.0,0.0
RSC,1,0,0.66576916,-4.3721976,-5.313164,-4.547706,-4.12799,-4.825176,-5.59428,0.04149519890260622,0.7578581076440557,0.7993533065466619,0.16108839113233495
RSC,1,1,0.88923675,-5.720723,-5.156401,-5.247256,-3.515785,-5.015433,-4.4392843,0.16975308641975312,0.8008974153522126,0.9706505017719658,0.04184419751469845
RSC,1,2,0.7810035,-3.7924638,-5.051427,-5.578199,-5.0238113,-4.4335666,-4.394095,0.023834019204389573,0.5644101554451593,0.5882441746495488,0.09031242614453323
